_id,Saglik Tesisi Adi,Ana Kategori,Alt Kategori,Ilce Adi,Mahalle Adi,ADRES,Latitude,Longitude
1,Ada Medikal Diğer Tıbbi Malz Satışı,Sağlık,Medikal,BEYKOZ,YALIKÖY,Çayır Cad. No:25 F YALIKÖY/BEYKOZ,41.1395049999999997680788510479032993316650390625,29.086856999999998407702150871045887470245361328125
2,Uzman Dental Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAĞCILAR,YAVUZ SELİM,Birlik Cad. No:15 YAVUZ SELİM/BAĞCILAR,41.03557500000000146656020660884678363800048828125,28.85385000000000133013600134290754795074462890625
3,Özel Moda Polikliniği,Sağlık,Poliklinik Özel,KADIKÖY,CAFERAĞA,Mühürdar Karakolu Sk. No:1 -3A CAFERAĞA/KADIKÖY,40.98457700000000158979673869907855987548828125,29.02437400000000167210600920952856540679931640625
4,Op. Dr. Ayça Çarak,Sağlık,Doktor/Muayenehane,ŞİŞLİ,TEŞVİKİYE,Şakayık Sk. No:4 TEŞVİKİYE/ŞİŞLİ,41.0493129999999979418134898878633975982666015625,28.9960880000000003064997144974768161773681640625
5,Özeller Saat Optik,Sağlık,Gözlükçü/Optik,ESENYURT,SULTANİYE,Doğan Araslı Bulvarı No:168 SULTANİYE/ESENYURT,41.034131999999999607098288834095001220703125,28.680530999999998442717696889303624629974365234375
6,İntermed Nişantaşı Polikliniği,Sağlık,Poliklinik Özel,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:63 HARBİYE/ŞİŞLİ,41.051366999999999052306520752608776092529296875,28.991552999999999684632712160237133502960205078125
7,Psk. Emine Sinem Derli,Sağlık,Psikologlar,ŞİŞLİ,HALASKARGAZİ,Rumeli Cad. No:71 HALASKARGAZİ/ŞİŞLİ,41.0533530000000013160388334654271602630615234375,28.987579000000000206682670977897942066192626953125
8,Uzm. Dr. Tuğba Türe,Sağlık,Doktor/Muayenehane,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:7 HARBİYE/ŞİŞLİ,41.04858500000000276486389338970184326171875,28.994015999999998456360117415897548198699951171875
9,Bbc Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:19 HARBİYE/ŞİŞLİ,41.04948300000000216414264286868274211883544921875,28.9933869999999984656824381090700626373291015625
10,Prof. Dr. Gediz Murat Serin,Sağlık,Doktor/Muayenehane,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:17 HARBİYE/ŞİŞLİ,41.04925399999999768851921544410288333892822265625,28.993491999999999819692675373516976833343505859375
11,Op. Dr. Hakkı H. İzmirli,Sağlık,Doktor/Muayenehane,ŞİŞLİ,MEŞRUTİYET,Rumeli Cad. No:42 MEŞRUTİYET/ŞİŞLİ,41.0531730000000010250005288980901241302490234375,28.98926399999999858891897019930183887481689453125
12,Uzm. Dr. Şuayip Sancaktar,Sağlık,Doktor/Muayenehane,SULTANBEYLİ,TURGUT REİS,Doğa Sk. No:1 TURGUT REİS/SULTANBEYLİ,40.96462199999999853616827749647200107574462890625,29.277421000000000361751517630182206630706787109375
13,Diş Hekimi Emre Özbir,Sağlık,Diş Hekimi,BEŞİKTAŞ,NİSBETİYE,Nisbetiye Cad. No:42 NİSBETİYE/BEŞİKTAŞ,41.07602299999999928559191175736486911773681640625,29.01998999999999995225152815692126750946044921875
14,Kartal Esentepe Mah Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KARTAL,ESENTEPE,Hakan Sk. No:6 ESENTEPE/KARTAL,40.90366999999999819692675373516976833343505859375,29.18592699999999950932760839350521564483642578125
15,Dr. Dt. Onur Utku Yüksel,Sağlık,Diş Hekimi,ŞİŞLİ,HALASKARGAZİ,Rumeli Cad. No:71 HALASKARGAZİ/ŞİŞLİ,41.0534099999999995134203345514833927154541015625,28.987674999999999414512785733677446842193603515625
16,Ada Optik,Sağlık,Gözlükçü/Optik,GAZİOSMANPAŞA,KARADENİZ,1113/2. Sk. No:3 KARADENİZ/GAZİOSMANPAŞA,41.0757770000000022037056623958051204681396484375,28.88278199999999884539647609926760196685791015625
17,Erg. Rumeysa Sultan Sağlam,Sağlık,Doktor/Muayenehane,GAZİOSMANPAŞA,MERKEZ,Morlale Sk. No:1 MERKEZ/GAZİOSMANPAŞA,41.0589370000000002391971065662801265716552734375,28.908469000000000193040250451304018497467041015625
