_id,ID,AD,KATEGORI ADI,IL ADI,ILCE ADI,MAHALLE ADI,DURUM,BOYLAM,ENLEM,ELEKTRIK,KULLANIM ALANI,OTOMATIK HESAPLANAN ALAN,SU,TABELA KOD,TOPLAM ALAN,TOPLAM CADIR / KONTEYNER SAYISI,TUR,VERI URETIM,WC / KANALIZASYON,YOL DURUMU
1,151349489,Filiz Parkı.,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Cami Mh.,Aktif,29.31523421094284,40.82196781750072,Var,1690,1796.45903013517,Var,3430-009-16,1690,0/0,PARK,Koordinat,Yok,Var
2,151349490,Çınar Sitesi Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Cami Mh.,Aktif,29.31393764857012,40.82162083054779,Var,9978,4059.01211970516,Var,3430-009-19,9978,0/0,PARK,Koordinat,Yok,Var
3,151349491,Ova Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Cami Mh.,Aktif,29.307206744914254,40.81759391148841,Var,1040,1133.69188422789,Var,3430-009-17,1040,0/0,PARK,Koordinat,Yok,Var
4,151349492,Aydınlı Merkez Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydınlı Mh.,Aktif,29.328858628350357,40.86927763232813,Var,650,302.922344916194,Var,3430-005-07,650,0/0,PARK,Koordinat,Yok,Var
5,151349493,Aydınlı Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydınlı Mh.,Aktif,29.323774421759207,40.864656101917895,Var,5832,4678.43576988529,Var,3430-005-12,5832,0/0,PARK,Koordinat,Yok,Var
6,151349494,Aydınlı Pazar Alanı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydınlı Mh.,Aktif,29.324249722736692,40.8710304504975,Var,5799,7549.73642642793,Var,3430-005-10,5799,0/0,PAZAR ALANI,Koordinat,Yok,Var
7,151349495,Gürpınar Caddesi Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydınlı Mh.,Aktif,29.331574294595004,40.86827649040629,Var,4083,4385.73140841115,Var,3430-005-09,4083,0/0,PARK,Koordinat,Yok,Var
8,151349496,Kardeşler Sokak Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydınlı Mh.,Aktif,29.32189296530128,40.87908295116843,Var,2095,2290.02917731888,Var,3430-005-08,2095,0/0,PARK,Koordinat,Yok,Var
9,151349497,Konaşlı Parkı,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydınlı Mh.,Aktif,29.334732370206822,40.88492319970537,Var,1500,1637.29627452635,Var,3430-005-06,1500,0/0,PARK,Koordinat,Yok,Var
10,151349498,Necip Fazıl Kısakürek Parkı.,Acil Durum Toplanma Alanı (Halk),İstanbul,Tuzla,Aydınlı Mh.,Aktif,29.340291040618887,40.86533790689796,Var,18064,20278.0642551662,Var,3430-005-14,18064,0/0,PARK,Koordinat,Yok,Var
